,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,40.61,40.61,40.46,40.56,40.56,227062,0.0,1.0
1,2018-05-01,40.7,40.8,40.54,40.73,40.73,864779,0.0,1.0
2,2018-04-30,40.87,40.98,40.74,40.81,40.81,676174,0.0,1.0
3,2018-04-27,40.61,40.78,40.57,40.75,40.75,246098,0.0,1.0
4,2018-04-26,40.47,40.6,40.42,40.53,40.53,470981,0.0,1.0
5,2018-04-25,40.18,40.25,40.07,40.17,40.17,435011,0.0,1.0
6,2018-04-24,40.45,40.48,40.18,40.29,40.29,455728,0.0,1.0
7,2018-04-23,40.44,40.44,40.24,40.35,40.35,390494,0.0,1.0
8,2018-04-20,40.53,40.62,40.4572,40.62,40.62,1867829,0.0,1.0
9,2018-04-19,40.81,40.92,40.59,40.68,40.68,440596,0.0,1.0
10,2018-04-18,40.88,40.985,40.81,40.9,40.9,229855,0.0,1.0
11,2018-04-17,40.64,40.86,40.55,40.78,40.78,706913,0.0,1.0
12,2018-04-16,40.5,40.55,40.42,40.5,40.5,464625,0.0,1.0
13,2018-04-13,40.53,40.56,40.4,40.52,40.52,319023,0.0,1.0
14,2018-04-12,40.51,40.64,40.51,40.55,40.55,675684,0.0,1.0
15,2018-04-11,40.41,40.7,40.41,40.56,40.56,715246,0.0,1.0
16,2018-04-10,40.58,40.69,40.5,40.62,40.62,466243,0.0,1.0
17,2018-04-09,40.42,40.6,40.34,40.35,40.35,303731,0.0,1.0
18,2018-04-06,40.17,40.36,39.96,40.07,40.07,481147,0.0,1.0
19,2018-04-05,40.28,40.34,40.16,40.24,40.24,568575,0.0,1.0
20,2018-04-04,39.67,40.3,39.67,40.28,40.28,459445,0.0,1.0
21,2018-04-03,39.92,39.93,39.69,39.91,39.91,432986,0.0,1.0
22,2018-04-02,40.03,40.05,39.51,39.68,39.68,1240437,0.0,1.0
23,2018-03-29,39.94,40.2,39.9,40.02,40.02,641504,0.0,1.0
24,2018-03-28,39.62,39.88,39.52,39.68,39.68,284912,0.0,1.0
25,2018-03-27,39.65,39.76,39.24,39.38,39.38,489735,0.0,1.0
26,2018-03-26,39.58,39.71,39.27,39.61,39.61,1477877,0.0,1.0
27,2018-03-23,39.67,39.81,39.16,39.16,39.16,1342602,0.0,1.0
28,2018-03-22,39.64,39.82,39.42,39.42,39.42,2007614,0.0,1.0
29,2018-03-21,39.71,40.02,39.71,39.91,39.91,224294,0.0,1.0
30,2018-03-20,39.86,39.93,39.78,39.84,39.84,156072,0.0,1.0
31,2018-03-19,39.83,39.88,39.65,39.86,39.86,207201,0.0,1.0
32,2018-03-16,39.76,39.87,39.69,39.69,39.69,183622,0.2013,1.0
33,2018-03-15,40.06,40.17,39.93,39.99,39.7882,193811,0.0,1.0
34,2018-03-14,40.14,40.2,39.92,40.02,39.8181,260688,0.0,1.0
35,2018-03-13,40.05,40.17,39.71,39.76,39.5594,375693,0.0,1.0
36,2018-03-12,39.87,39.96,39.83,39.91,39.7086,794246,0.0,1.0
37,2018-03-09,39.91,40.05,39.86,40.03,39.828,448854,0.0,1.0
38,2018-03-08,39.88,39.98,39.78,39.97,39.7683,1296737,0.0,1.0
